RESMODE,HHL,LNGI,rate,se,YEAR
1,1,1,0.027015443,7.52E-05,2006
2,1,1,0.043119901,0.00016989,2006
1,2,1,0.032909125,0.000263446,2006
2,2,1,0.039803255,0.000324412,2006
1,3,1,0.028326459,0.000282116,2006
2,3,1,0.04427602,0.000824519,2006
1,4,1,0.035983062,0.00050395,2006
2,4,1,0.04634647,0.00103657,2006
1,5,1,0.034135442,0.001078934,2006
2,5,1,0.04687999,0.001420527,2006
1,2,2,0.047329757,0.000975663,2006
2,2,2,0.038717246,0.000361914,2006
1,3,2,0.038963242,0.00112924,2006
2,3,2,0.04542981,0.001600766,2006
1,4,2,0.048650418,0.001119562,2006
2,4,2,0.043873342,0.001311734,2006
1,5,2,0.042782257,0.002859111,2006
2,5,2,0.047763107,0.002637107,2006
1,1,1,0.026095943,6.88E-05,2007
2,1,1,0.043643428,0.00015578,2007
1,2,1,0.032163988,0.000286764,2007
2,2,1,0.040202024,0.000348442,2007
1,3,1,0.027969671,0.0003,2007
2,3,1,0.04465971,0.000838677,2007
1,4,1,0.035424567,0.000496406,2007
2,4,1,0.04737787,0.001210017,2007
1,5,1,0.03301718,0.000993903,2007
2,5,1,0.045753635,0.001209441,2007
1,2,2,0.045978193,0.000811589,2007
2,2,2,0.039548335,0.000480912,2007
1,3,2,0.036944529,0.000851853,2007
2,3,2,0.042997987,0.001419137,2007
1,4,2,0.0471368,0.001018232,2007
2,4,2,0.043881832,0.001368383,2007
1,5,2,0.04767467,0.003315786,2007
2,5,2,0.043508961,0.002634383,2007
1,1,1,0.029485868,7.04E-05,2008
2,1,1,0.036359754,0.000171143,2008
1,2,1,0.034506035,0.000290336,2008
2,2,1,0.033031198,0.000344414,2008
1,3,1,0.031239879,0.000398658,2008
2,3,1,0.036118285,0.000588063,2008
1,4,1,0.03073519,0.000449243,2008
2,4,1,0.036969135,0.000943493,2008
1,5,1,0.035636357,0.001175116,2008
2,5,1,0.039755657,0.001392602,2008
1,2,2,0.050098491,0.00130674,2008
2,2,2,0.031663509,0.000399618,2008
1,3,2,0.042166257,0.001080183,2008
2,3,2,0.036357633,0.00119574,2008
1,4,2,0.039750203,0.000973278,2008
2,4,2,0.037001588,0.001292667,2008
1,5,2,0.046982335,0.005099857,2008
2,5,2,0.035363128,0.00187655,2008
1,1,1,0.025518399,6.76E-05,2009
2,1,1,0.035841021,0.000146917,2009
1,2,1,0.029156725,0.000322215,2009
2,2,1,0.032826298,0.000325995,2009
1,3,1,0.025786019,0.000321397,2009
2,3,1,0.035543047,0.000726192,2009
1,4,1,0.025322158,0.000466639,2009
2,4,1,0.036357804,0.000943187,2009
1,5,1,0.02916852,0.001066531,2009
2,5,1,0.03523212,0.001281869,2009
1,2,2,0.04374515,0.001222734,2009
2,2,2,0.029306792,0.000354017,2009
1,3,2,0.033689089,0.001222906,2009
2,3,2,0.034449677,0.001036584,2009
1,4,2,0.032475893,0.000838995,2009
2,4,2,0.03402143,0.001019192,2009
1,5,2,0.03915556,0.003780795,2009
2,5,2,0.036936112,0.001915983,2009
1,1,1,0.030602663,7.89E-05,2010
2,1,1,0.042115755,0.000173532,2010
1,2,1,0.037347659,0.000437736,2010
2,2,1,0.034416645,0.000310825,2010
1,3,1,0.030976863,0.000380435,2010
2,3,1,0.038410838,0.000735884,2010
1,4,1,0.032156067,0.000580553,2010
2,4,1,0.03971047,0.000816873,2010
1,5,1,0.034382708,0.001101463,2010
2,5,1,0.040044298,0.001354662,2010
1,2,2,0.053918138,0.001465471,2010
2,2,2,0.030027369,0.000371749,2010
1,3,2,0.041094872,0.001177846,2010
2,3,2,0.036483328,0.000994938,2010
1,4,2,0.038333427,0.001208375,2010
2,4,2,0.035336375,0.001200635,2010
1,5,2,0.048240242,0.003381623,2010
2,5,2,0.029976964,0.001587641,2010
1,1,1,0.029512962,8.66E-05,2011
2,1,1,0.040637447,0.000188104,2011
1,2,1,0.034891809,0.000395539,2011
2,2,1,0.034442174,0.000278881,2011
1,3,1,0.030116471,0.000423594,2011
2,3,1,0.040002535,0.000814495,2011
1,4,1,0.031045899,0.000601292,2011
2,4,1,0.036905586,0.000799865,2011
1,5,1,0.035298952,0.001261978,2011
2,5,1,0.037312327,0.001462619,2011
1,2,2,0.050683436,0.001227008,2011
2,2,2,0.029897872,0.000415018,2011
1,3,2,0.039901559,0.001272681,2011
2,3,2,0.036784323,0.001268438,2011
1,4,2,0.035632783,0.000991759,2011
2,4,2,0.037475561,0.001326584,2011
1,5,2,0.047326262,0.003913628,2011
2,5,2,0.033705885,0.00219953,2011
1,1,1,0.031616239,0.000104932,2012
2,1,1,0.04074811,0.000179503,2012
1,2,1,0.036779257,0.000385307,2012
2,2,1,0.034300895,0.000284919,2012
1,3,1,0.031685538,0.000381118,2012
2,3,1,0.039627512,0.000691478,2012
1,4,1,0.032030413,0.000569379,2012
2,4,1,0.039981047,0.000986275,2012
1,5,1,0.037699533,0.001274776,2012
2,5,1,0.03874555,0.001088998,2012
1,2,2,0.05304298,0.001316414,2012
2,2,2,0.030487359,0.000376219,2012
1,3,2,0.042807592,0.00123535,2012
2,3,2,0.038772723,0.001396493,2012
1,4,2,0.038729823,0.000934266,2012
2,4,2,0.035001939,0.001293235,2012
1,5,2,0.049904661,0.003097572,2012
2,5,2,0.039053678,0.002971711,2012
1,1,1,0.06247888,0.000211646,2013
2,1,1,0.040385414,0.000194809,2013
3,1,1,0.020111777,9.57E-05,2013
1,2,1,0.074500661,0.000784644,2013
2,2,1,0.033333883,0.000323204,2013
3,2,1,0.023918461,0.000365598,2013
1,3,1,0.068992159,0.00100714,2013
2,3,1,0.038298989,0.000807466,2013
3,3,1,0.024268062,0.000518285,2013
1,4,1,0.073869029,0.00157343,2013
2,4,1,0.037041131,0.001005463,2013
3,4,1,0.02288981,0.000499368,2013
1,5,1,0.074313026,0.002692314,2013
2,5,1,0.036267497,0.001602826,2013
3,5,1,0.02602029,0.001176483,2013
1,2,2,0.088368461,0.002165655,2013
2,2,2,0.028351938,0.000399255,2013
3,2,2,0.028762007,0.001696579,2013
1,3,2,0.074636791,0.002365823,2013
2,3,2,0.037378702,0.001314074,2013
3,3,2,0.027114481,0.001711258,2013
1,4,2,0.073388877,0.002035306,2013
2,4,2,0.037373931,0.00136332,2013
3,4,2,0.025531293,0.001298776,2013
1,5,2,0.085018092,0.006471762,2013
2,5,2,0.034665722,0.001814023,2013
3,5,2,0.028305121,0.002241881,2013
1,1,1,0.051489984,0.00017128,2014
2,1,1,0.038914499,0.000187813,2014
3,1,1,0.020339785,9.58E-05,2014
1,2,1,0.059102013,0.0008129,2014
2,2,1,0.031923448,0.000322792,2014
3,2,1,0.025273036,0.00038705,2014
1,3,1,0.054384169,0.000871964,2014
2,3,1,0.03656423,0.000785074,2014
3,3,1,0.024351309,0.000525084,2014
1,4,1,0.056217313,0.001351015,2014
2,4,1,0.035839687,0.000883042,2014
3,4,1,0.023594915,0.000468779,2014
1,5,1,0.061099918,0.002178723,2014
2,5,1,0.034875981,0.001293213,2014
3,5,1,0.026396179,0.001031323,2014
1,2,2,0.074973689,0.0018429,2014
2,2,2,0.027599721,0.000380043,2014
3,2,2,0.030163617,0.001313809,2014
1,3,2,0.064328845,0.002232958,2014
2,3,2,0.037223351,0.001352689,2014
3,3,2,0.027419532,0.001446477,2014
1,4,2,0.064730523,0.002058265,2014
2,4,2,0.03523295,0.001168666,2014
3,4,2,0.02551246,0.000921043,2014
1,5,2,0.074817916,0.005869859,2014
2,5,2,0.032433367,0.002183829,2014
3,5,2,0.028958523,0.002399211,2014
1,1,1,0.051972778,0.000182017,2015
2,1,1,0.037317482,0.000185126,2015
3,1,1,0.020699799,0.000105824,2015
1,2,1,0.063255056,0.000861669,2015
2,2,1,0.030854432,0.000288529,2015
3,2,1,0.028158254,0.000538482,2015
1,3,1,0.057386404,0.000962581,2015
2,3,1,0.034783253,0.000647519,2015
3,3,1,0.026712557,0.000536527,2015
1,4,1,0.059413441,0.001390343,2015
2,4,1,0.035907556,0.000985978,2015
3,4,1,0.023374768,0.000455054,2015
1,5,1,0.062885126,0.002277037,2015
2,5,1,0.032185911,0.001007184,2015
3,5,1,0.028667662,0.001501159,2015
1,2,2,0.072252609,0.001932617,2015
2,2,2,0.026982025,0.000345015,2015
3,2,2,0.030313058,0.001277565,2015
1,3,2,0.063851144,0.002162527,2015
2,3,2,0.037259264,0.001347675,2015
3,3,2,0.027325966,0.001681423,2015
1,4,2,0.064357978,0.00227535,2015
2,4,2,0.037449679,0.001541952,2015
3,4,2,0.024024653,0.001287108,2015
1,5,2,0.062005756,0.005476416,2015
2,5,2,0.031095105,0.001446196,2015
3,5,2,0.028954119,0.004522011,2015
1,1,1,0.049443747,0.000184878,2016
2,1,1,0.039188122,0.000183497,2016
3,1,1,0.016253841,9.04E-05,2016
1,2,1,0.056584371,0.000869682,2016
2,2,1,0.033777568,0.000298741,2016
3,2,1,0.021788474,0.000467377,2016
1,3,1,0.052807916,0.001038714,2016
2,3,1,0.037639275,0.000821483,2016
3,3,1,0.019307637,0.000461733,2016
1,4,1,0.055217664,0.001466334,2016
2,4,1,0.036360495,0.000974139,2016
3,4,1,0.018872265,0.000545886,2016
1,5,1,0.064853672,0.003013477,2016
2,5,1,0.035498711,0.001157618,2016
3,5,1,0.022374099,0.001125993,2016
1,2,2,0.080814148,0.00208987,2016
2,2,2,0.028817647,0.000379147,2016
3,2,2,0.024886185,0.001411388,2016
1,3,2,0.061194781,0.002409471,2016
2,3,2,0.036009834,0.001273414,2016
3,3,2,0.022259776,0.001665744,2016
1,4,2,0.060733611,0.002343193,2016
2,4,2,0.034576307,0.001170077,2016
3,4,2,0.016472548,0.000953332,2016
1,5,2,0.057998874,0.004904194,2016
2,5,2,0.034527272,0.001728615,2016
3,5,2,0.02148225,0.003201445,2016
1,1,1,0.064404992,0.000175846,2017
2,1,1,0.051688618,0.0002149,2017
3,1,1,0.024437807,9.82E-05,2017
1,2,1,0.074076512,0.000703697,2017
2,2,1,0.05071277,0.000341179,2017
3,2,1,0.03495063,0.000395208,2017
1,3,1,0.0693407,0.000970598,2017
2,3,1,0.052913051,0.00085602,2017
3,3,1,0.030928516,0.000551253,2017
1,4,1,0.068554991,0.001112876,2017
2,4,1,0.057594917,0.00118674,2017
3,4,1,0.029123464,0.000540978,2017
1,5,1,0.079222921,0.002931423,2017
2,5,1,0.052410523,0.001152673,2017
3,5,1,0.035244496,0.001271821,2017
1,2,2,0.092742047,0.001941416,2017
2,2,2,0.040635674,0.000450692,2017
3,2,2,0.037249214,0.001353311,2017
1,3,2,0.07634125,0.002599094,2017
2,3,2,0.049971038,0.001636975,2017
3,3,2,0.030339258,0.001336823,2017
1,4,2,0.074009395,0.002502544,2017
2,4,2,0.045890775,0.001330024,2017
3,4,2,0.025296728,0.00084862,2017
1,5,2,0.086653786,0.005999204,2017
2,5,2,0.043137588,0.001727908,2017
3,5,2,0.036573571,0.003005459,2017